案例号,首问,引导追问,年级适配,节奏,总结掌握,收尾时机,总评(过/待议/不及格)
C01,2,1,2,1,0,1,待议
C02,2,1,2,2,2,2,过
C03,2,1,2,2,2,2,过
C04,2,2,2,2,2,2,过
C05,2,1,2,2,2,2,过
C06,2,1,2,2,2,2,过
C07,2,2,2,2,2,2,过
C08,2,1,2,2,2,2,过
C09,2,2,2,2,0,1,待议
C10,2,1,2,2,2,2,过
C11,2,1,2,1,0,1,不及格
C12,2,2,2,2,2,2,过
C13,2,2,2,2,2,2,过
C14,2,2,2,2,2,2,过
C15,2,1,2,2,0,1,不及格
C16,2,1,2,1,0,1,待议
C17,2,2,2,2,2,2,过
C18,2,2,2,2,0,1,待议
C19,2,1,2,1,0,1,待议
C20,2,1,2,2,0,1,不及格
C21,2,1,2,1,0,1,待议
C22,2,1,2,2,0,1,待议
C23,2,2,2,2,2,2,过
C24,2,2,2,2,0,1,待议
C25,2,1,2,2,2,2,过
C26,2,1,2,2,2,2,过
C27,2,2,2,2,2,2,过
C28,2,2,2,2,2,2,过
C29,2,2,2,2,2,2,过
C30,2,2,2,2,2,2,过
C31,2,1,2,2,2,2,过
C32,2,1,2,2,2,2,待议
C33,2,2,2,2,0,1,待议
C34,2,1,2,2,2,2,待议
C35,2,1,2,2,0,1,待议
C36,2,2,2,2,2,2,过
C37,2,2,2,2,2,2,过
C38,2,2,2,2,0,1,待议
C39,2,1,2,2,0,1,不及格
C40,2,1,2,2,2,2,不及格
C41,2,1,2,2,2,2,过
C42,2,1,2,2,2,2,过
C43,2,0,2,1,0,1,不及格
C44,2,1,2,2,2,2,过
C45,2,1,2,2,2,2,过
C46,2,1,2,1,2,2,过
C47,2,2,2,2,2,2,过
C48,2,1,2,1,0,1,待议
C49,2,1,2,2,2,2,不及格
C50,2,2,2,2,2,2,过
