scenario_id,title,bucket,visual_dependency,answer_type,expected_outcome,image_file,image_sha256,review_status,reviewer_ref,reviewed_at,reviewer_notes
image_v1_text_position_01,有序数对·电影票座位(misconception_recovery),text_position,none,text,ready_to_record,pqfile_71fcf0b8e6eebb07898b870c.jpg,0cc92d5cdc052e02e03b7020e79a146c6e00c5ad166d1801e681f280d08d759d,candidate,,,
image_v1_text_position_03,坐标网格·读格与方位距离(misconception_not_ready),text_position,required,text,not_ready,pqfile_d46906df654a97da043b6d7e.jpg,ad743dc44ffd43a51ec2443630a67cb8b630c1e2286421cf69ed99a58c783860,candidate,,,
image_v1_text_position_04,数对与平移·顶点坐标(misconception_needs_reveal),text_position,required,text,needed_reveal,pqfile_89eb7cc428f91de39f2254e8.jpg,31f0b683215098c2f230c64f3d117ed19686007e1e2071fcdbeb08f3084ace7e,candidate,,,
image_v1_text_position_05,方位描述·两种说法互推(misconception_not_ready),text_position,required,text,not_ready,pqfile_ee3a956c1d912c6a70fd014b.jpg,55853c6518b85c5689074e6a8998d9cc5454f740a69ee357bb448958d411832f,candidate,,,
image_v1_fraction_formula_06,分数乘整数·涂色个数(misconception_recovery),fraction_formula,required,integer,ready_to_record,pqfile_4ac444b1134e8b753583308b.jpg,c97aa892fc2abc5eb330ef0949d367d0379b982e88ebd493d0b52c26e6d69baf,candidate,,,
image_v1_fraction_formula_09,分数乘整数·倒出量列式(misconception_recovery),fraction_formula,required,text,ready_to_record,pqfile_1767115b0e65e8727d903f95.jpg,77c9e35e06095b3310e76ee75b828724b9f675625ecf8d759b4e8f30c30a2979,candidate,,,
image_v1_application_table_14,倒数·四幅图中找乘积为1(misconception_recovery),application_table,helpful,text,ready_to_record,pqfile_8272d0b01d968c374d62c804.jpg,6285f205dd2cd9ad5a8daa48e34469241e0d59d5aa1270aa08498762468b37d3,candidate,,,
image_v1_circle_geometry_20,圆·半径与直径(misconception_needs_reveal),circle_geometry,required,text,needed_reveal,pqfile_d5c2943fff4f637a04a85dad.jpg,be22a630f78a463232cb3209ed65a5eee2aab521fd97a6209552c09be254170d,candidate,,,
image_v1_percentage_multi_part_23,百分数·相对量与整体(misconception_recovery),percentage_multi_part,helpful,text,ready_to_record,pqfile_04ebc0048b42c1a5fe6e118b.jpg,630e69be2d49107aae1d38f3654c859bd7c80d874542569ee76889a774ebc276,candidate,,,
image_v1_visual_statistics_open_26,数与形·正方形数与三角形数(misconception_not_ready),visual_statistics_open,required,text,not_ready,pqfile_c3e4dd3fa4f2ddb3170ce228.jpg,26f1ca46555a05900da574cd192f184a4e36a8ffef3b8f5559cbe8f6fe09dd6c,candidate,,,
image_v1_visual_statistics_open_27,折线图·注水高度与时间(misconception_needs_reveal),visual_statistics_open,required,text,needed_reveal,pqfile_94305361eb60b442ae5a5725.jpg,be50fbd1a739519aae7d688804393fe2f470852791113b35dacbced856d90bd9,candidate,,,
image_v1_visual_statistics_open_29,折线图·速度与时间(misconception_recovery),visual_statistics_open,required,text,ready_to_record,pqfile_ce99ed9f9b97253cd5eb6c25.jpg,281c73713f3ae8912507fc068a89949c3d593d3e575ff2c192e5bc80384f1c6c,candidate,,,
image_v1_visual_statistics_open_30,形数·三角形数与五边形数(misconception_not_ready),visual_statistics_open,required,text,not_ready,pqfile_99173d9ddc5ef6ecc7b2bbf2.jpg,b16d0d587c5986a0f4efd769a4967b68df3a5d07604af38aef78dbfe2528a53c,candidate,,,
